Name(ID)	sprite_name	chat_id	max_hp	max_shield	max_stagger	ATK	DEF	SPEED 	ACC (%)	EVADE	AI type	AI parameters	null wk/res	agni wk/res	cryo wk/res	volt wk/res	SpellGroup 1	Spell1 (root)	Spell1 (elem)	Spell1(style)	Spell x (root)	Spell x (elem)	Spell x (style)	Next Group or END																	
Glain-neidr	spr_bt_adderstone	enemy_general_1	300	0	3	1	0	3	1.5	0	Attacker1	none	0	2	2	2	GROUP/DEFAULT	weakness	null	null	prayer	agni	weakened	debilitate	null	weakened	stinger	null	null	GROUP/HEALTH_LOW	ultima	null	null	END							
Kitsunario	spr_bt_kitsune	changeling_1	100	0	3	0.75	0	0.7	0.9	10	N/A	none	-2	-2	-2	2	GROUP/DEFAULT	sword	veld	null	lance	cryo	null	sword 	null	null	GROUP/HEALTH_LOW	halberd	null	aimed	sword	null	null	GROUP/HEALTH_CRITICAL	selfcare	agni	empowered	END			
Kitsunuigi	spr_bt_kitsune_mountain_dew	changeling_1	150	0	2	0.75	0	0.7	0.9	10	N/A	none	-2	2	-2	-2	GROUP/DEFAULT	sword	agni	null	sword	null	null	lance	veld	null	GROUP/HEALTH_LOW	lance	agni	null	sword	null	null	GROUP/HEALTH_CRITICAL	halberd	cryo	weakened	END			
Doppelganger	spr_bt_doppelganger	doppelganger_1	300	0	3	0.75	0.1	0.5	1	0	FormChange1	"Attacker1,Bunbuku,true"	0	0	0	0	GROUP/DEFAULT	sword	null	null	lance	null	null	END																	
Illyia?	spr_bt_illusion_illyia	enemy_general_1	150	0	2	1	0	0.5	1	0	DoppelFriend1	Illyia???	-2	-2	-2	-2	GROUP/DEFAULT	stress	cryo	other	stress	null	other	stress	cryo	other	END														
Dahlia?	spr_bt_illusion_dahlia	enemy_general_1	150	0	2	1	0	0.9	1	0	DoppelFriend1	Dahlia???	-2	-2	-2	-2	GROUP/DEFAULT	stress	null	other	stress	veld	other	stress	veld	other	END														
Illyia???	spr_bt_doppelganger_illyia	enemy_general_1	100	0	2	1.5	0	1	0.8	0	N/A	spr_bt_doppelganger_illyia	0.5	2	2	2	GROUP/DEFAULT	sword	null	powered	sword	null	powered	sword 	null	powered	sword	null	powered	END											
Dahlia???	spr_bt_doppelganger_dahlia	enemy_general_1	150	0	3	0.9	0.2	1.5	1	0	N/A	spr_bt_doppelganger_dahlia	2	0.5	0.5	0.5	GROUP/DEFAULT	selfcare	agni	wide	selfcare	null	wide	hammer	null	weak	END														
Doppelganger (BLUE)	spr_bt_doppelganger_b	doppelganger_1	170	0	1	1.25	0	0.8	1	0	Doppelganger1	none	-2	2	-1	0.5	GROUP/DEFAULT	sword	cryo	null	lance	cryo	null	GROUP/TOO_LONG	hammer	cryo	null	GROUP/SPECIAL	magic_circle	null	null	END									
Doppelganger (YELLOW)	spr_bt_doppelganger_y	doppelganger_1	170	0	2	1.25	0	0.8	1	0	Doppelganger1	none	-2	0.5	2	-1	GROUP/DEFAULT	sword	veld	null	lance	veld	null	GROUP/TOO_LONG	hammer	veld	null	GROUP/SPECIAL	magic_circle	null	null	END									
Doppelganger (RED)	spr_bt_doppelganger_r	doppelganger_1	170	0	2	1.25	0	0.8	1	0	Doppelganger1	none	-2	-1	0.5	2	GROUP/DEFAULT	sword	agni	null	lance	agni	null	GROUP/TOO_LONG	hammer	agni	null	GROUP/SPECIAL	magic_circle	null	null	END									
Doppelganger (???)	spr_bt_doppelganger_b	doppelganger_1	170	0	3	1.5	0	0.4	0.9	0	Doppelganger1	none	-2	0	0	0	GROUP/DEFAULT	sword	null	null	END																				
Doppelganger (GRAY)	spr_bt_doppelganger_g	doppelganger_1	500	0	2	2	0	1	1	0	Doppelganger1	none	2	0	0	0	GROUP/DEFAULT	hammer	null	null	END																				
END																																									
